symbol,dst,weight
CBK.DE,CABK.MC,2.50024958151419
KBC.BR,ISP.MI,2.496702376454857
A5G.IR,SAN.MC,2.4960756034330323
INGA.AS,SAN.MC,2.494304491504866
A5G.IR,DBK.DE,2.487660455507985
A5G.IR,ISP.MI,2.486598498873952
BRD.RO,BIRG.IR,2.483686335532028
EBS.VI,SAN.MC,2.4830057063440867
MB.MI,DBK.DE,2.4806576374408986
BAER.SW,DBK.DE,2.471622299432377
BAER.SW,EFGN.SW,2.47083218225172
DANSKE.CO,GLE.PA,2.4685100134993485
A5G.IR,UCG.MI,2.4655474211465385
CBK.DE,INGA.AS,2.4638609580261046
OSB.L,INVP.L,2.463771963230061
SAN.MC,UCG.MI,2.4636815314194696
MB.MI,BNP.PA,2.463643835060513
KOMB.PR,BMED.MI,2.4600448279856315
BCP.LS,BMED.MI,2.45878180800236
UCG.MI,SAN.MC,2.4559514657277526
ISP.MI,SAN.MC,2.4500984161709343
INVP.L,BAER.SW,2.4498209052292443
BCP.LS,BBVA.MC,2.4435667007581188
SAN.MC,BNP.PA,2.442539169180926
BNP.PA,GLE.PA,2.441829426028063
MB.MI,SAN.MC,2.440827839472913
BBVA.MC,UCG.MI,2.440259354418041
DNB.OL,JYSK.CO,2.4377258998122597
DBK.DE,BKT.MC,2.437257796967572
CMBN.SW,BPSO.MI,2.435935348670942
CBK.DE,ACA.PA,2.4355916172729297
OSB.L,BAER.SW,2.4354097807490658
KBC.BR,BMED.MI,2.4336519131910985
SAB.MC,BPE.MI,2.4314942605413155
A5G.IR,SAB.MC,2.431180517232161
ISP.MI,BMED.MI,2.429048759157502
BPE.MI,BBVA.MC,2.428683314339241
GLE.PA,SAN.MC,2.425394311537147
MING.OL,BMED.MI,2.423901317248517
DBK.DE,BARC.L,2.419576877780499
NDA-SE.ST,INGA.AS,2.416165985068579
EBS.VI,BKT.MC,2.413694097951111
KOMB.PR,BKT.MC,2.411155173893175
ETE.AT,PKO.WA,2.407880595894811
EBS.VI,ISP.MI,2.405332810426719
OSB.L,NWG.L,2.4043298383457463
BIRG.IR,ISP.MI,2.403890909660687
BCGE.SW,BPE.MI,2.401091625209382
SHB-A.ST,KBC.BR,2.3951621766350697
EFGN.SW,UCG.MI,2.395009187596526
CBK.DE,BPE.MI,2.393437790306562
BPSO.MI,BNP.PA,2.392903082036695
SHB-A.ST,DNB.OL,2.392864975770786
SEB-A.ST,ISP.MI,2.392123489699716
ISP.MI,INGA.AS,2.3918661002884583
UCG.MI,ACA.PA,2.391641114972135
BCP.LS,SAN.MC,2.3904635798420104
BBVA.MC,ISP.MI,2.3904302055540225
CMBN.SW,FBK.MI,2.388977461144941
BPSO.MI,CABK.MC,2.387206589875622
BARC.L,BMED.MI,2.3854711716013104
VONN.SW,BAER.SW,2.383047838445935
SAN.MC,BKT.MC,2.381023643341736
UBSG.SW,STAN.L,2.381018840096189
OSB.L,BAMI.MI,2.3789075736601863
BCP.LS,SAB.MC,2.378805790759021
TPEIR.AT,PEO.WA,2.375308554730479
NDA-SE.ST,UCG.MI,2.372544016936568
TLV.RO,SYDB.CO,2.366797711885803
CABK.MC,INGA.AS,2.363936922261972
DANSKE.CO,SWED-A.ST,2.3611287187498258
BMED.MI,BNP.PA,2.3555798272363058
GLE.PA,BCP.LS,2.355401933766642
BAMI.MI,BNP.PA,2.354310968813622
CBK.DE,A5G.IR,2.35381098296418
SWED-A.ST,UCG.MI,2.3521300988692517
SWED-A.ST,KBC.BR,2.3513167126439254
EBS.VI,UCG.MI,2.3506332068928217
KBC.BR,DBK.DE,2.3499354490347217
FBK.MI,KBC.BR,2.348286906707712
ABN.AS,CABK.MC,2.3462910447152923
BMPS.MI,SAN.MC,2.345293586067003
BNP.PA,BPSO.MI,2.3452079183786982
SAN.MC,INGA.AS,2.34342795942558
GLE.PA,UCG.MI,2.3424080134915326
CABK.MC,BPSO.MI,2.3423727744291005
CBK.DE,DBK.DE,2.341220150643971
DBK.DE,UCG.MI,2.3411802378878503
KOMB.PR,FBK.MI,2.3406708662654223
SAB.MC,BPSO.MI,2.339823650059768
BCP.LS,DBK.DE,2.338634752956241
SAN.MC,BAMI.MI,2.3384235744705952
KBC.BR,UCG.MI,2.3379208349569818
BARC.L,STAN.L,2.33769230599377
CABK.MC,BMED.MI,2.3375207163726994
INGA.AS,CABK.MC,2.333390248528832
DBK.DE,SAN.MC,2.333214823876873
BPSO.MI,BMPS.MI,2.3328620337020167
ETE.AT,KOMB.PR,2.3304063261575685
BAMI.MI,CABK.MC,2.329831121618197
BKT.MC,UCG.MI,2.3282331563107093
ISP.MI,DBK.DE,2.3271288369885705
ACA.PA,BPSO.MI,2.3270272772932343
BPSO.MI,SAN.MC,2.3217696953762195
BKT.MC,INGA.AS,2.3192717401083938
CABK.MC,BPE.MI,2.3189913965793734
ETE.AT,PEO.WA,2.318760472954504
BPSO.MI,BKT.MC,2.316647792460414
