timestamp,symbol,reason,coverage,span_years
2025-11-05 15:20:09,MONET.PR,coverage<90%,78.25,8.79
2025-11-05 15:20:09,MTRO.L,coverage<90%,86.59,9.66
2025-11-05 15:20:09,UNI.MC,coverage<90%,75.69,8.34
2025-11-05 15:32:14,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-05 15:32:14,ISB.IC,history<5.0y & coverage<90%,38.57,4.36
2025-11-05 15:32:14,TRIO.AS,history<5.0y & coverage<90%,3.51,0.38
2025-11-05 15:32:14,ADKO.VI,coverage<90%,56.85,6.31
2025-11-05 15:32:14,ARION.IC,coverage<90%,65.12,7.38
2025-11-05 15:32:14,BG.VI,coverage<90%,71.86,8.02
2025-11-05 15:32:14,MONET.PR,coverage<90%,78.25,8.79
2025-11-05 15:32:14,MTRO.L,coverage<90%,86.59,9.66
2025-11-05 15:32:14,UNI.MC,coverage<90%,75.69,8.34
2025-11-05 15:33:18,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-05 15:33:18,ISB.IC,history<5.0y & coverage<90%,38.57,4.36
2025-11-05 15:33:18,TRIO.AS,history<5.0y & coverage<90%,3.51,0.38
2025-11-05 15:33:18,ADKO.VI,coverage<90%,56.85,6.31
2025-11-05 15:33:18,ARION.IC,coverage<90%,65.12,7.38
2025-11-05 15:33:18,BG.VI,coverage<90%,71.86,8.02
2025-11-05 15:33:18,MONET.PR,coverage<90%,78.25,8.79
2025-11-05 15:33:18,MTRO.L,coverage<90%,86.59,9.66
2025-11-05 15:33:18,UNI.MC,coverage<90%,75.69,8.34
2025-11-05 15:33:28,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-05 15:33:28,ISB.IC,history<5.0y & coverage<90%,38.57,4.36
2025-11-05 15:33:28,TRIO.AS,history<5.0y & coverage<90%,3.51,0.38
2025-11-05 15:33:28,ADKO.VI,coverage<90%,56.85,6.31
2025-11-05 15:33:28,ARION.IC,coverage<90%,65.12,7.38
2025-11-05 15:33:28,BG.VI,coverage<90%,71.86,8.02
2025-11-05 15:33:28,MONET.PR,coverage<90%,78.25,8.79
2025-11-05 15:33:28,MTRO.L,coverage<90%,86.59,9.66
